date,pm2_5,air_temperature,air_humidity,is_primary_outlier,T,P0,P,U,DD,Ff,VV,hour,season,AQI,AQI_Category,AQI_Color
2024-05-23 00:00:00,5.15,14.868333091666669,63.479499016666665,False,12.0,749.2,760.5,77.0,3.0,4.0,10.0,0,1,22,Good,#00E400
2024-05-23 01:00:00,5.133333333333334,13.993333016666666,67.29016555,False,11.0,749.8,761.2,88.0,2.0,3.0,10.0,1,1,22,Good,#00E400
2024-05-23 02:00:00,5.983333333333333,13.508833008333331,68.49366551666667,False,10.0,749.8,761.2,82.0,2.0,4.0,10.0,2,1,25,Good,#00E400
2024-05-23 03:00:00,7.1,13.252999333333332,69.04249905,False,9.0,749.8,761.2,87.0,3.0,3.0,10.0,3,1,30,Good,#00E400
2024-05-23 04:00:00,5.3,13.085332983333332,69.05366585,False,10.0,749.8,761.2,88.0,6.0,4.0,10.0,4,1,22,Good,#00E400
2024-05-23 05:00:00,5.183333333333334,13.840666333333331,65.35983258333333,False,11.0,749.2,760.5,88.0,6.0,3.0,10.0,5,1,22,Good,#00E400
2024-05-23 06:00:00,5.283333333333333,14.633833116666668,65.72066515,False,13.0,749.2,760.5,77.0,3.0,4.0,10.0,6,1,22,Good,#00E400
2024-05-23 07:00:00,4.833333333333333,16.298666408333336,60.4169989,False,16.0,749.4,760.5,59.0,2.0,5.0,10.0,7,1,20,Good,#00E400
2024-05-23 08:00:00,4.616666666666666,17.57916648333333,56.763332616666666,False,18.0,750.1,761.2,56.0,1.0,6.0,10.0,8,1,19,Good,#00E400
2024-05-23 09:00:00,4.066666666666666,18.939499766666664,53.21033243333333,False,19.0,750.2,761.2,52.0,2.0,6.0,10.0,9,1,17,Good,#00E400
2024-05-23 10:00:00,4.25,19.907666416666665,52.5728322,False,20.0,750.2,761.2,49.0,1.0,7.0,10.0,10,1,18,Good,#00E400
2024-05-23 11:00:00,3.866666666666666,21.72983305,46.87983261666667,False,21.0,750.2,761.2,50.0,0.0,6.0,10.0,11,1,16,Good,#00E400
2024-05-23 12:00:00,4.566666666666666,23.718332983333333,42.83516636666666,False,22.0,749.6,760.5,47.0,1.0,5.0,10.0,12,1,19,Good,#00E400
2024-05-23 13:00:00,3.4916666666666667,24.696249691666665,39.94983285,False,23.0,749.6,760.5,44.0,0.0,5.0,10.0,13,1,15,Good,#00E400
2024-05-23 14:00:00,3.3,25.243666341666664,37.86458283333333,False,24.0,749.6,760.5,41.0,0.0,5.0,10.0,14,1,14,Good,#00E400
2024-05-23 15:00:00,3.858333333333333,25.6069998,37.77008275,False,24.0,749.6,760.5,39.0,1.0,5.0,10.0,15,1,16,Good,#00E400
2024-05-23 16:00:00,3.816666666666667,25.438499666666665,38.33466611666667,False,24.0,748.9,759.7,39.0,1.0,5.0,10.0,16,1,16,Good,#00E400
2024-05-23 17:00:00,4.233333333333333,25.151833066666665,39.43283265,False,22.0,748.8,759.7,44.0,1.0,5.0,10.0,17,1,18,Good,#00E400
2024-05-23 18:00:00,4.933333333333334,22.023249691666667,43.433166283333335,False,22.0,748.8,759.7,44.0,1.0,5.0,10.0,18,1,21,Good,#00E400
2024-05-23 19:00:00,11.616666666666667,20.00916643333333,46.94633266666666,False,20.0,748.7,759.7,46.0,0.0,5.0,10.0,19,1,49,Good,#00E400
2024-05-23 20:00:00,10.95,19.36033315,50.46133268333333,False,17.0,748.6,759.7,64.0,2.0,2.0,10.0,20,1,46,Good,#00E400
2024-05-23 21:00:00,16.016666666666666,18.6824999,53.94149911666667,False,17.0,749.4,760.5,59.0,8.0,2.0,10.0,21,1,59,Moderate,#FFFF00
2024-05-23 22:00:00,20.1,17.73716645,63.352332116666666,False,14.0,748.5,759.7,77.0,16.0,4.0,10.0,22,1,68,Moderate,#FFFF00
2024-05-23 23:00:00,17.066666666666666,16.8478332,70.90233251666668,False,15.0,748.5,759.7,72.0,10.0,3.0,10.0,23,1,62,Moderate,#FFFF00
