"time";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"11.02.2025 23:30";"-9.0";"756.6";"768.9";"79";"Ветер, дующий с запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-12.0";
"11.02.2025 23:00";"-9.0";"756.6";"768.9";"86";"Ветер, дующий с запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"11.02.2025 22:30";"-8.0";"756.6";"768.9";"86";"Ветер, дующий с запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-10.0";
"11.02.2025 22:00";"-7.0";"756.7";"768.9";"79";"Ветер, дующий с запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-10.0";
"11.02.2025 21:30";"-7.0";"756.7";"768.9";"86";"Ветер, дующий с запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"11.02.2025 21:00";"-7.0";"756.7";"768.9";"86";"Ветер, дующий с запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"11.02.2025 20:30";"-6.0";"756.7";"768.9";"80";"Ветер, дующий с запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"11.02.2025 20:00";"-5.0";"756.8";"768.9";"80";"Ветер, дующий с запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"11.02.2025 19:30";"-5.0";"756.8";"768.9";"80";"Ветер, дующий с запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"11.02.2025 19:00";"-4.0";"756.8";"768.9";"80";"Ветер, дующий с запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"11.02.2025 18:30";"-4.0";"756.8";"768.9";"80";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"11.02.2025 18:00";"-3.0";"756.8";"768.9";"80";"Ветер, дующий с западо-юго-запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"11.02.2025 17:30";"-2.0";"756.9";"768.9";"69";"Ветер, дующий с западо-юго-запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"11.02.2025 17:00";"-2.0";"756.9";"768.9";"74";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"11.02.2025 16:30";"-2.0";"756.9";"768.9";"74";"Ветер, дующий с западо-юго-запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"11.02.2025 16:00";"-2.0";"756.9";"768.9";"74";"Ветер, дующий с западо-юго-запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"11.02.2025 15:30";"-2.0";"756.9";"768.9";"74";"Ветер, дующий с юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"11.02.2025 15:00";"-2.0";"756.9";"768.9";"74";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"11.02.2025 14:30";"-2.0";"756.9";"768.9";"74";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"11.02.2025 14:00";"-2.0";"756.9";"768.9";"69";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"11.02.2025 13:30";"-3.0";"757.5";"769.6";"74";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"11.02.2025 13:00";"-4.0";"757.5";"769.6";"74";"Ветер, дующий с юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"11.02.2025 12:30";"-4.0";"757.5";"769.6";"74";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"11.02.2025 12:00";"-5.0";"758.2";"770.4";"74";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"11.02.2025 11:30";"-6.0";"758.2";"770.4";"74";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-10.0";
"11.02.2025 11:00";"-7.0";"758.1";"770.4";"73";"Ветер, дующий с запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"11.02.2025 10:30";"-7.0";"758.1";"770.4";"73";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"11.02.2025 10:00";"-8.0";"758.1";"770.4";"79";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"11.02.2025 09:30";"-9.0";"758.0";"770.4";"79";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-12.0";
"11.02.2025 09:00";"-10.0";"758.0";"770.4";"79";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-13.0";
"11.02.2025 08:30";"-11.0";"758.0";"770.4";"85";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-13.0";
"11.02.2025 08:00";"-12.0";"757.9";"770.4";"85";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-14.0";
"11.02.2025 07:30";"-13.0";"757.9";"770.4";"85";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-15.0";
"11.02.2025 07:00";"-12.0";"757.9";"770.4";"85";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-14.0";
"11.02.2025 06:30";"-11.0";"758.0";"770.4";"85";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-13.0";
"11.02.2025 06:00";"-11.0";"758.0";"770.4";"85";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-13.0";
"11.02.2025 05:30";"-12.0";"757.9";"770.4";"85";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Рассеянная (40-50%) 300 м";"10.0 и более";"-14.0";
"11.02.2025 05:00";"-12.0";"757.9";"770.4";"85";"Ветер, дующий с запада";"6";"";"";"";"Рассеянная (40-50%) 300 м";"10.0 и более";"-14.0";
"11.02.2025 04:30";"-11.0";"758.0";"770.4";"85";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 270 м";"10.0 и более";"-13.0";
"11.02.2025 04:00";"-11.0";"758.0";"770.4";"85";"Ветер, дующий с запада";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-13.0";
"11.02.2025 03:30";"-10.0";"758.0";"770.4";"85";"Ветер, дующий с запада";"6";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-12.0";
"11.02.2025 03:00";"-9.0";"758.0";"770.4";"86";"Ветер, дующий с запада";"5";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-11.0";
"11.02.2025 02:30";"-9.0";"758.0";"770.4";"86";"Ветер, дующий с запада";"5";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-11.0";
"11.02.2025 02:00";"-9.0";"758.0";"770.4";"86";"Ветер, дующий с запада";"5";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-11.0";
"11.02.2025 01:30";"-9.0";"758.0";"770.4";"93";"Ветер, дующий с запада";"6";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-10.0";
